id;customer;from_date;to_date;remarks;invoice_report;invoice_report_content_type;created_on;created_by;updated_on;updated_by
1;53074;2020-05-25;2020-05-25;Toys Oval Refined Soft Chicken;../fake-data/blob/hipster.png;image/png;2020-05-26T01:37:19;invoice;2020-05-25T19:17:14;Synergized protocol AGP
2;59643;2020-05-25;2020-05-26;Practical enable fault-tolerant;../fake-data/blob/hipster.png;image/png;2020-05-25T08:30:09;Lock Computers connect;2020-05-25T13:20:59;Steel
3;77178;2020-05-25;2020-05-26;Computer Refined Wooden Shirt;../fake-data/blob/hipster.png;image/png;2020-05-25T16:31:34;scalable;2020-05-26T03:50:28;Indonesia Unbranded
4;53364;2020-05-25;2020-05-25;Investor real-time;../fake-data/blob/hipster.png;image/png;2020-05-25T08:00:51;Florida Up-sized;2020-05-25T21:50:59;Central
5;90628;2020-05-26;2020-05-25;tan;../fake-data/blob/hipster.png;image/png;2020-05-26T04:12:09;Human firewall compressing;2020-05-25T12:22:09;attitude-oriented
6;60602;2020-05-25;2020-05-25;online Credit Card Account XML;../fake-data/blob/hipster.png;image/png;2020-05-25T22:10:28;Planner payment Frozen;2020-05-25T08:22:32;transmitting
7;57848;2020-05-25;2020-05-25;foreground;../fake-data/blob/hipster.png;image/png;2020-05-25T12:35:57;utilize Tools recontextualize;2020-05-26T03:43:33;Agent hard drive
8;65767;2020-05-25;2020-05-26;Money Market Account Buckinghamshire;../fake-data/blob/hipster.png;image/png;2020-05-25T18:21:24;SMS convergence;2020-05-25T18:06:16;National enhance Tools
9;51418;2020-05-25;2020-05-26;reinvent green;../fake-data/blob/hipster.png;image/png;2020-05-25T20:14:05;background repurpose;2020-05-26T05:06:51;Frozen cyan
10;15474;2020-05-25;2020-05-26;Michigan;../fake-data/blob/hipster.png;image/png;2020-05-26T06:32:06;turn-key;2020-05-26T01:30:41;Gourde US Dollar withdrawal
