id;order_no;invoice_no;tax_rate;tax_type;currency;invoice_tax_total;invoice_sub_total;invoice_total;invoice_date;invoice_paid_date;ref_option_1;ref_value_1;ref_option_2;ref_value_2;ref_option_3;ref_value_3;pay_ref_no;invoice_due_date;status;invoice_pdf;invoice_pdf_content_type;remarks;customer_info;payterm;balance;advance;discount;created_on;created_by;updated_on;updated_by
1;Texas Concrete;FTP;15184;FEDRAL;INR;47466;30348;64379;2020-05-25;2020-05-25;BOOKING_NO;program Unbranded;ORDER_NO;online streamline reciprocal;ORDER_NO;Checking Account access;sticky monitor Synergized;2020-05-25;PAID;../fake-data/blob/hipster.png;image/png;Rand;Rubber synergy program;transmitting Buckinghamshire Director;16111;32340;68672;2020-05-25T21:28:28;Cambridgeshire Fully-configurable iterate;2020-05-25T14:39:08;Fresh
2;Director;attitude-oriented;58385;GST;CAD;99442;49531;72584;2020-05-25;2020-05-25;ORDER_NO;Internal compressing Iceland;BOOKING_NO;bypassing Gorgeous Fresh Soap Toys;BOOKING_NO;Toys;Brand Savings Account;2020-05-25;VOIDED;../fake-data/blob/hipster.png;image/png;Handmade;Small Rubber Salad Oklahoma;Home Loan Account Handcrafted Steel Ball;88099;20149;51245;2020-05-25T18:27:34;Rubber reboot navigate;2020-05-25T16:06:01;Guinea-Bissau plum
3;maroon applications;Credit Card Account;24697;GST;CAD;65476;63121;5771;2020-05-25;2020-05-25;SHIPMENT_NO;Investment Account;ORDER_NO;Associate Mountains pink;BOOKING_NO;Cambodia;Pizza Data;2020-05-25;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;Small Cotton Table deposit Pizza;Mall deposit Credit Card Account;Massachusetts Automotive grey;16398;51030;61415;2020-05-25T23:18:09;Utah;2020-05-25T13:04:31;feed Tasty Fresh Chicken
4;Handcrafted Rustic Wooden Computer;online;91218;GST;CAD;23614;76997;49229;2020-05-25;2020-05-25;BOOKING_NO;cross-platform deposit;BOOKING_NO;Credit Card Account;ORDER_NO;Arkansas Sausages;Specialist Small embrace;2020-05-25;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;Health;Baby deposit;cyan Granite Dong;1360;63062;48756;2020-05-26T02:22:26;rich;2020-05-25T21:23:27;program
5;Investor standardization Practical Fresh Fish;Lane;96814;FEDRAL;INR;36295;38892;53262;2020-05-26;2020-05-25;SHIPMENT_NO;Home 24/365;BOOKING_NO;Enterprise-wide;PO_NUMBER;copying Northern Mariana Islands;SCSI revolutionize;2020-05-25;VOIDED;../fake-data/blob/hipster.png;image/png;Outdoors Central;South Carolina;invoice;28855;54956;44032;2020-05-26T04:23:46;dedicated Sleek architecture;2020-05-26T06:07:14;invoice maroon
6;Direct parsing;Kenyan Shilling Pants Legacy;53429;FEDRAL;USD;1870;47668;75582;2020-05-26;2020-05-25;SHIPMENT_NO;Cotton;BOOKING_NO;deposit compress Licensed Soft Tuna;SHIPMENT_NO;Developer Fresh Flats;deploy;2020-05-25;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;Grocery Networked;quantify maroon Incredible;Functionality Buckinghamshire Pound Sterling;49907;41847;94768;2020-05-26T00:23:41;synergies;2020-05-25T15:48:35;Polarised online matrix
7;Georgia Wyoming Intelligent Cotton Shoes;Tennessee Bedfordshire;97225;GST;USD;10186;77676;10347;2020-05-25;2020-05-25;PO_NUMBER;Lebanese Pound dynamic Clothing;SHIPMENT_NO;open-source;ORDER_NO;granular;Avon Money Market Account Djibouti Franc;2020-05-25;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;Philippine Peso Handcrafted Concrete Ball Stand-alone;Legacy;sensor;41083;59776;89470;2020-05-25T21:58:21;Sleek Steel Computer;2020-05-25T09:34:52;Valleys
8;Serbian Dinar Ergonomic Steel Pizza;maroon Surinam Dollar Berkshire;68485;FEDRAL;CAD;60389;33964;5930;2020-05-25;2020-05-26;PO_NUMBER;Course navigating;BOOKING_NO;Progressive;SHIPMENT_NO;Plastic matrices help-desk;wireless Exclusive;2020-05-25;PAID;../fake-data/blob/hipster.png;image/png;Investor Soap Lead;HTTP Regional;strategic SMTP;21817;39379;83027;2020-05-26T04:52:10;magenta paradigm e-tailers;2020-05-26T01:57:36;Comoro Franc Configuration Berkshire
9;Saint Lucia Frozen;wireless;87060;GST;CAD;61641;73859;2244;2020-05-25;2020-05-25;ORDER_NO;human-resource Harbor Generic Steel Tuna;SHIPMENT_NO;compressing e-business;SHIPMENT_NO;synthesizing;quantify Electronics;2020-05-26;VOIDED;../fake-data/blob/hipster.png;image/png;e-tailers;Cambridgeshire;Fish definition;12393;63100;10159;2020-05-26T01:56:53;Devolved Keyboard scalable;2020-05-26T05:49:09;lime 1080p
10;Incredible Granite Ball Tunisian Dinar RSS;Supervisor JBOD;71965;FEDRAL;CAD;26927;3135;58573;2020-05-25;2020-05-25;SHIPMENT_NO;Bermudian Dollar (customarily known as Bermuda Dollar) Towels Producer;PO_NUMBER;orange;PO_NUMBER;Mountain 3rd generation Games;Designer Russian Ruble;2020-05-26;DRAFT;../fake-data/blob/hipster.png;image/png;Afghanistan monitor unleash;magnetic Polarised;Direct;45375;52954;67108;2020-05-25T13:23:31;solid state;2020-05-25T08:17:29;Texas
