id;provider_name;issue_date;expiry_date;policy_document;policy_document_content_type;coverage_statement;created_on;created_by;updated_on;updated_by
1;Direct Metal Optimization;2020-05-25;2020-05-25;../fake-data/blob/hipster.png;image/png;transmitting;2020-05-25T15:38:20;info-mediaries payment invoice;2020-05-26T02:39:27;Handmade Cotton Car Puerto Rico
2;white platforms Plastic;2020-05-25;2020-05-26;../fake-data/blob/hipster.png;image/png;SSL;2020-05-26T00:21:48;e-commerce primary;2020-05-25T13:57:18;Pizza Managed
3;Compatible payment Home Loan Account;2020-05-25;2020-05-26;../fake-data/blob/hipster.png;image/png;neural orange;2020-05-25T11:18:33;regional;2020-05-26T00:45:59;Albania
4;invoice optimize;2020-05-26;2020-05-25;../fake-data/blob/hipster.png;image/png;Texas navigating Ridges;2020-05-25T15:01:04;copying;2020-05-25T15:55:13;Buckinghamshire transmit Executive
5;Personal Loan Account;2020-05-25;2020-05-25;../fake-data/blob/hipster.png;image/png;ADP online Tasty Concrete Car;2020-05-25T11:09:12;web services;2020-05-25T22:59:07;IB monitor
6;Ouguiya;2020-05-25;2020-05-26;../fake-data/blob/hipster.png;image/png;front-end;2020-05-25T13:59:59;Focused Usability;2020-05-25T08:49:40;invoice Personal Loan Account redundant
7;Programmable;2020-05-25;2020-05-25;../fake-data/blob/hipster.png;image/png;Manager challenge Chips;2020-05-25T22:57:22;incentivize Berkshire Centralized;2020-05-25T20:02:24;Internal Versatile
8;tertiary;2020-05-25;2020-05-25;../fake-data/blob/hipster.png;image/png;engineer RAM Michigan;2020-05-25T21:15:32;Division Rustic;2020-05-26T01:17:46;program exploit Awesome Wooden Shoes
9;Bedfordshire parsing;2020-05-25;2020-05-25;../fake-data/blob/hipster.png;image/png;sexy virtual;2020-05-26T00:11:05;Product Rustic Rubber Mouse;2020-05-25T08:01:05;Berkshire auxiliary
10;Human Reduced;2020-05-25;2020-05-25;../fake-data/blob/hipster.png;image/png;Buckinghamshire mint green;2020-05-25T22:47:16;Implemented Gorgeous;2020-05-25T11:10:08;supply-chains Fresh grey
