id;tx_type;description;tx_ammount;created_on;created_by;updated_on;updated_by
1;REFUND;plum;44832;2020-05-25T18:03:48;Rubber;2020-05-25T08:26:08;Qatar Rustic Trail
2;ADJUSTMENT;e-markets Customer salmon;59674;2020-05-25T15:36:30;Concrete generating UAE Dirham;2020-05-25T10:54:59;invoice
3;ADJUSTMENT;Factors Rubber;55406;2020-05-25T14:06:54;Norway;2020-05-25T22:46:46;JBOD
4;PAYMENT;Cambridgeshire;33467;2020-05-26T05:49:48;Configuration Regional Directives;2020-05-25T20:54:17;strategy
5;ADJUSTMENT;protocol Streets Somoni;33432;2020-05-25T07:47:51;withdrawal Shoes Fish;2020-05-25T11:06:36;visionary Refined Soft Table Fish
6;REFUND;Freeway payment salmon;91419;2020-05-25T21:26:39;orchestrate Personal Loan Account;2020-05-25T20:32:18;input
7;ADJUSTMENT;Bedfordshire;22589;2020-05-26T00:14:41;Group sticky Liaison;2020-05-25T23:06:13;hacking
8;ADJUSTMENT;Orchestrator;68340;2020-05-25T16:02:52;Practical Malaysian Ringgit;2020-05-25T19:09:12;Steel withdrawal Technician
9;INVOICE;reinvent compressing;73229;2020-05-25T14:29:18;Orchestrator Grocery Lodge;2020-05-25T13:38:38;gold Mobility
10;INVOICE;array Manager;41847;2020-05-25T20:37:08;Toys fuchsia tan;2020-05-25T07:45:26;FTP website
