id;enumber;type;ownershiptype;status;vin;make;model;description;year;year_purchased;license_plate_number;license_plate_expiration;inspection_sticker_expiration;created_on;created_by;updated_on;updated_by
1;Ohio Fish;CHASIS;Savings Account indexing;ACTIVE;capacitor architectures complexity;payment reboot;De-engineered Jordanian Dinar;Light;implementation structure;reboot Granite;firewall payment;2020-05-26;2020-05-25;2020-05-26T01:15:11;Home Loan Account SDD;2020-05-26T04:57:10;local area network
2;Fantastic Granite Sausages Salad;TRAILER;magnetic;ACTIVE;Corporate;Re-contextualized Practical Metal Shoes;Costa Rican Colon Officer Vatu;Cambridgeshire transition;Agent navigating;invoice magnetic;National Communications Incredible Frozen Towels;2020-05-26;2020-05-25;2020-05-25T12:18:15;invoice Administrator;2020-05-25T15:29:25;Engineer Cotton e-business
3;deploy;TRAILER;Nakfa Officer Awesome Rubber Gloves;INACTIVE;Automotive Unbranded magenta;SQL;disintermediate synergies e-commerce;Integration SMS;conglomeration reboot Gabon;withdrawal;Hong Kong Dollar extensible;2020-05-25;2020-05-26;2020-05-26T05:53:11;Steel Beauty Swiss Franc;2020-05-26T00:11:28;Communications demand-driven
4;Grass-roots sensor Digitized;CONTAINER;Concrete Orchestrator proactive;ACTIVE;wireless Orchestrator;Bolivar Fuerte Investment Account;Mauritius Rupee synthesize;white bluetooth;seamless Liechtenstein Regional;platforms;Representative;2020-05-25;2020-05-25;2020-05-25T07:01:28;time-frame;2020-05-25T15:45:54;violet methodology tertiary
5;program;CONTAINER;encompassing;INACTIVE;Small Fresh Hat;frictionless neural-net;portals Dominican Peso online;HTTP Norfolk Island;withdrawal;Networked Rustic Louisiana;interactive quantify;2020-05-25;2020-05-25;2020-05-25T15:15:00;withdrawal;2020-05-26T02:41:12;e-commerce
6;bypass application gold;CHASIS;expedite Small Wooden Shirt;INACTIVE;bypassing Security;bluetooth;Rustic Concrete Cheese Sleek Borders;Practical;Supervisor;optical grid-enabled Baby;strategize Rubber Investment Account;2020-05-25;2020-05-25;2020-05-25T17:12:44;transmitter Dale;2020-05-26T02:33:59;Ergonomic Agent redundant
7;driver;TRAILER;Sleek Unbranded Granite Car;ACTIVE;Incredible Wooden Car scalable invoice;Bacon syndicate;Fresh Divide Forward;AI Peru cross-media;neural;open-source e-enable;scale Rustic;2020-05-25;2020-05-25;2020-05-25T23:42:40;Steel synthesize Berkshire;2020-05-25T09:35:55;Toys Liberia hacking
8;Web Guyana Dollar;CHASIS;Senior;ACTIVE;index Executive;out-of-the-box;Liaison;Engineer Legacy matrix;reciprocal;Unbranded Cheese feed;collaborative Central Personal Loan Account;2020-05-25;2020-05-25;2020-05-25T09:26:02;time-frame Auto Loan Account Pike;2020-05-26T03:19:38;matrix
9;drive;CHASIS;deposit digital Kuwait;ACTIVE;open-source;24/365 bypass;leading-edge;JSON Table;Tenge;Savings Account connect Central;Bolivar Fuerte Refined;2020-05-25;2020-05-25;2020-05-26T00:25:20;web services;2020-05-26T00:36:20;Public-key
10;Towels withdrawal;CHASIS;withdrawal withdrawal;INACTIVE;JSON intuitive;firewall;invoice;logistical;Congolese Franc;Self-enabling Internal Gorgeous Concrete Hat;Strategist;2020-05-25;2020-05-25;2020-05-26T04:19:09;Administrator Digitized;2020-05-25T17:21:58;Identity
