id;balance;over_30;over_60;over_90;created_on;created_by;updated_on;updated_by
1;96113;89691;79862;34169;2020-05-25T10:15:08;Fresh;2020-05-25T22:11:19;24/365 Alabama
2;87119;86850;29107;9778;2020-05-25T15:12:34;Technician invoice Cambridgeshire;2020-05-26T00:13:06;Administrator Dynamic Swedish Krona
3;50710;15220;31901;97344;2020-05-25T19:35:28;visionary;2020-05-25T21:23:09;networks
4;10506;60384;34515;80220;2020-05-25T15:21:29;Chips;2020-05-25T23:35:41;responsive connecting bus
5;4896;30076;66144;15489;2020-05-25T21:54:39;payment SDD connecting;2020-05-25T21:16:25;Auto Loan Account
6;28284;43392;39379;47047;2020-05-25T14:27:05;Beauty;2020-05-25T13:44:15;support hack
7;84456;60832;23698;26580;2020-05-25T18:59:18;Division Intelligent;2020-05-25T13:11:52;clicks-and-mortar expedite Steel
8;84234;378;19427;74143;2020-05-25T17:39:06;Plastic haptic Bedfordshire;2020-05-25T21:17:30;Denar
9;54896;42115;32838;15838;2020-05-26T01:45:31;upward-trending methodical Steel;2020-05-25T15:50:28;orange Granite Automotive
10;1232;54202;7320;40859;2020-05-25T18:13:18;Clothing Money Market Account background;2020-05-26T00:00:08;Investment Account Gorgeous Orchestrator
