id;userto;usercc;userbcc;subject;message;multipart;html_body;attachment;attachment_content_type;attachment_name;status;sent_date_time;created_on;created_by;updated_on;updated_by
1;innovate Path;Data;withdrawal;Libyan Arab Jamahiriya Handmade Concrete Fish;Utah card;false;false;../fake-data/blob/hipster.png;image/png;Rhode Island;Licensed Analyst;2020-05-25T14:59:04;2020-05-25T16:13:58;Frozen Brand North Carolina;2020-05-26T06:23:25;USB
2;COM;user-centric Colombian Peso Unidad de Valor Real;Generic;Investment Account back up;invoice Shoes Rubber;true;true;../fake-data/blob/hipster.png;image/png;Checking Account monitor Incredible Granite Chair;virtual vertical;2020-05-25T13:17:23;2020-05-25T09:30:38;Haven;2020-05-25T10:27:01;Iowa Soap
3;Credit Card Account;digital Generic;Cambridgeshire dynamic Cameroon;Seamless Shirt;Uzbekistan Future-proofed Personal Loan Account;true;true;../fake-data/blob/hipster.png;image/png;Portugal distributed;parsing;2020-05-25T21:37:04;2020-05-25T14:01:52;groupware;2020-05-25T09:57:53;Pizza Representative
4;vortals dynamic Distributed;Buckinghamshire;intuitive well-modulated;Avon Tasty Rubber Cheese portal;wireless National invoice;false;false;../fake-data/blob/hipster.png;image/png;Tasty Steel Chicken connect Associate;national;2020-05-25T19:35:37;2020-05-25T18:25:57;Tactics Chicken overriding;2020-05-25T21:06:43;coherent
5;Incredible Plastic Chair;Auto Loan Account;zero tolerance Health;Assistant;Stream deposit Arkansas;true;false;../fake-data/blob/hipster.png;image/png;Connecticut Iraqi Dinar 1080p;Delaware lavender 5th generation;2020-05-26T05:35:27;2020-05-26T04:02:16;Communications matrix tan;2020-05-25T12:30:32;Surinam Dollar
6;XSS withdrawal Consultant;Unbranded Soft Bacon orange;SAS calculate bandwidth-monitored;innovative integrate bluetooth;synthesizing navigating reboot;true;false;../fake-data/blob/hipster.png;image/png;Designer;Coordinator navigating Canadian Dollar;2020-05-26T00:54:29;2020-05-25T16:04:42;mobile;2020-05-26T06:41:26;channels invoice
7;Shoes THX Handcrafted Plastic Sausages;redundant Faroe Islands Investment Account;National;Solomon Islands Dollar Norwegian Krone;Sausages core Home;true;false;../fake-data/blob/hipster.png;image/png;hack Fundamental architectures;system Clothing;2020-05-26T00:57:48;2020-05-25T19:03:13;Pizza;2020-05-25T14:18:44;Borders metrics killer
8;fuchsia;Pants;Soft THX;Representative Borders;withdrawal copying cutting-edge;true;true;../fake-data/blob/hipster.png;image/png;intermediate Regional;evolve Gorgeous Rubber Computer Pants;2020-05-25T07:35:59;2020-05-25T23:39:32;Refined Tactics quantifying;2020-05-25T17:24:29;Customer PCI
9;Personal Loan Account;payment synergies cyan;Checking Account tan;robust;Phased Investor;true;false;../fake-data/blob/hipster.png;image/png;supply-chains;protocol;2020-05-25T14:02:01;2020-05-25T10:28:47;visionary Chair;2020-05-25T18:35:39;Tennessee B2C Home Loan Account
10;groupware e-business invoice;Baby;Architect Oman;EXE;National channels benchmark;false;true;../fake-data/blob/hipster.png;image/png;turquoise Licensed Soft Shirt Accountability;Infrastructure dynamic International;2020-05-26T01:21:06;2020-05-25T09:36:55;parsing;2020-05-25T18:15:56;transmitter Nebraska functionalities
