id;custom_trip_number;description;trip_type;shipment_number;order_number;bol;pickup;jhi_drop;current_location;status;detention;chasis_in_time;order_document;order_document_content_type;pod;pod_content_type;hazmat;refrigerated;liftgate;recieved_by;covered_by;load_type;container_size;numbers_of_container;comments;auto_generate_invoice;created_on;created_by;updated_on;updated_by
1;Architect;e-business Solutions;RETURN;architecture Money Market Account;Chief;Universal Rhode Island Prairie;2020-05-25;2020-05-25;wireless Auto Loan Account;COMPLETED;11876;2020-05-25T21:55:42;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true;false;1080p;OwnerOperator;DRYVAN;C53;87930;override Handmade;false;2020-05-25T11:43:31;Grass-roots;2020-05-25T16:22:26;deposit networks primary
2;Bahamian Dollar;unleash;RETURN;unleash International;SSL Home Loan Account Practical Metal Tuna;fault-tolerant;2020-05-25;2020-05-26;Illinois hacking Utah;PICKEDUP;51062;2020-05-25T11:07:42;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true;true;Towels front-end Tools;CompanyDriver;POWERONLY;C20;89405;systems;false;2020-05-25T16:07:56;quantifying Versatile content;2020-05-26T03:02:46;microchip
3;Metal Games;Internal;PICKUP;UIC-Franc 1080p;niches;Plastic multi-byte holistic;2020-05-25;2020-05-25;Functionality Infrastructure;PICKEDUP;46027;2020-05-25T10:37:47;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;Paraguay;OwnerOperator;FLATBED;C43;11520;Hat;true;2020-05-25T22:18:35;Keyboard;2020-05-25T18:04:04;gold Enterprise-wide
4;Granite Ball;Seamless;RETURN;black Advanced;Lead red;Lead;2020-05-25;2020-05-25;Chicken generate green;DELIVERED;25565;2020-05-25T18:14:53;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false;true;Checking Account;CompanyDriver;LTL;C20;5010;PNG Corporate;true;2020-05-25T17:03:41;Orchestrator experiences;2020-05-25T10:20:18;Rest Metal Future
5;systematic;circuit Samoa application;RETURN;efficient;mobile Mobility;array Checking Account backing up;2020-05-25;2020-05-26;invoice Leone;INVOICED;57987;2020-05-25T16:31:35;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;Algerian Dinar payment Handcrafted;CompanyDriver;FLATBED;C53;83223;grid-enabled;true;2020-05-25T21:49:02;Frozen Integration Practical;2020-05-26T01:00:04;eyeballs
6;Accountability Gardens;Denar Liechtenstein;PICKUP;functionalities;compressing next-generation optimizing;violet transmitting;2020-05-25;2020-05-26;CFA Franc BEAC;PICKEDUP;60394;2020-05-25T19:44:28;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;true;Identity Concrete International;CompanyDriver;CONTAINER;C43;92739;Small;true;2020-05-26T03:18:07;compressing;2020-05-25T20:50:13;mobile
7;North Carolina Wooden;Virgin Islands, U.S. Shoes;PICKUP;alarm full-range Quality;Extended deposit;interfaces;2020-05-25;2020-05-25;website transition RAM;PICKEDUP;11333;2020-05-25T20:35:12;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;true;Engineer parse lavender;CompanyDriver;REEFER;C53;79502;Bedfordshire support scalable;false;2020-05-26T06:11:44;Consultant;2020-05-25T11:12:57;Rustic
8;Track;bus;RETURN;deposit array;maximize;Handcrafted Soft Bacon azure Extensions;2020-05-26;2020-05-25;Regional invoice;ONROAD;90651;2020-05-25T23:11:33;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false;false;Developer Metal Small Frozen Salad;OwnerOperator;LTL;C20;18466;Investor Garden Georgia;false;2020-05-25T15:38:49;extensible Cotton;2020-05-25T13:57:55;evolve Frozen
9;calculate salmon;primary;PICKUP;Cotton Bedfordshire;bleeding-edge mission-critical;markets e-business program;2020-05-25;2020-05-25;lavender Savings Account;INVOICED;44563;2020-05-26T02:49:52;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;true;true;Sports Intelligent Rubber Car;OwnerOperator;DRYVAN;C43;94428;Salad infrastructures;false;2020-05-25T15:23:50;Auto Loan Account Buckinghamshire;2020-05-25T12:25:58;users payment
10;Burundi International;Tuna;PICKUP;Auto Loan Account Wooden Administrator;Credit Card Account;azure Division Borders;2020-05-25;2020-05-25;protocol;DELIVERED;19132;2020-05-26T00:24:41;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;true;Representative Electronics;CompanyDriver;FLAT_DECK;C20;21863;system engine Soft;true;2020-05-26T05:44:04;Small Fresh Soap;2020-05-25T22:58:17;invoice
