id;item_name;description;default_qty;price;created_on;created_by;updated_on;updated_by
1;emulation Seychelles Rupee Tools;systematic Integration drive;52903;38967;2020-05-25T11:03:49;payment Plains Rustic;2020-05-25T23:27:20;Fantastic
2;heuristic primary;Senegal South Carolina circuit;42301;86984;2020-05-26T01:00:55;Coordinator;2020-05-26T06:22:52;Ergonomic Plastic Fish
3;Home;Avon synergies;80313;14590;2020-05-25T22:05:08;Designer;2020-05-26T00:27:59;Pound Sterling Knoll Reactive
4;projection;Alaska Direct access;48051;96808;2020-05-25T18:59:44;Pizza yellow quantifying;2020-05-26T02:23:36;Assimilated teal
5;Fork Road;e-commerce Handmade;20198;63522;2020-05-26T06:10:11;Orchestrator Executive Manager;2020-05-25T12:00:56;capacitor Tasty Rubber Chair
6;Optional Turnpike fuchsia;payment;55462;59292;2020-05-26T00:15:52;Clothing;2020-05-25T15:28:15;invoice auxiliary
7;actuating Salad Concrete;demand-driven transmitting conglomeration;39204;20333;2020-05-26T05:00:05;wireless Licensed;2020-05-25T19:08:35;Practical Concrete Shirt Nebraska
8;Fresh;Investment Account Saint Helena indexing;18662;50078;2020-05-26T03:59:33;Utah GB Human;2020-05-25T21:25:47;Bacon Bike transmit
9;initiative bandwidth Soft;Granite Sleek Soft Car;34949;10856;2020-05-25T12:45:28;Buckinghamshire Congolese Franc interface;2020-05-25T23:52:51;real-time
10;Credit Card Account Uzbekistan Sum Direct;Ramp Holy See (Vatican City State) Optimization;43167;91906;2020-05-25T23:13:12;responsive SMTP;2020-05-25T12:59:45;Operations
