id;invoice_no;pay_date;pay_ref_no;mode;ammount;unused_ammount;created_on;created_by;updated_on;updated_by
1;Soap Guernsey;2020-05-25;Bacon Gabon Polarised;CHECK;10361;44370;2020-05-25T21:25:16;solid state Buckinghamshire;2020-05-26T01:46:13;Tools e-services Skyway
2;hack;2020-05-26;Factors Alabama Accountability;CHECK;14845;13643;2020-05-26T03:42:30;syndicate;2020-05-26T06:40:26;Singapore Dollar Sleek
3;system engine Pre-emptive;2020-05-26;redundant Multi-channelled bandwidth;CASH;24324;46136;2020-05-25T21:17:04;throughput EXE;2020-05-25T15:06:57;demand-driven Vermont red
4;back-end task-force;2020-05-25;United States Minor Outlying Islands Designer indigo;BANK_TRANSFER;70263;62426;2020-05-25T21:35:07;Table Music Slovenia;2020-05-26T01:11:18;Kentucky SDD
5;capacitor Assistant;2020-05-25;Netherlands;CHECK;2587;52561;2020-05-25T07:13:14;Pizza Avon;2020-05-25T15:41:59;Accountability Cedi
6;protocol Accounts optical;2020-05-25;target Bedfordshire deposit;CHECK;303;74355;2020-05-25T11:17:06;Intelligent Rubber Chair wireless Intelligent;2020-05-25T19:08:13;payment synthesize Malaysian Ringgit
7;Checking Account;2020-05-26;expedite Car incubate;BANK_TRANSFER;21621;73886;2020-05-25T16:30:03;action-items;2020-05-25T09:43:29;Salad Incredible Handmade
8;reboot;2020-05-25;Metical;CASH;94654;27817;2020-05-25T10:39:31;reintermediate;2020-05-25T15:15:35;pink Engineer
9;magenta Orchestrator Borders;2020-05-26;Technician 3rd generation;CHECK;22203;20003;2020-05-25T08:36:45;orchid Pizza;2020-05-25T11:26:02;sensor Cambridgeshire
10;Northern Mariana Islands TCP;2020-05-26;Forest end-to-end;CHECK;23010;13564;2020-05-25T13:20:00;Representative Gloves El Salvador;2020-05-25T15:59:40;client-driven
