id;item_name;description;qty;price;discount;total;created_on;created_by;updated_on;updated_by
1;gold;parse;23065;2081;89833;22387;2020-05-25T08:06:27;optical;2020-05-25T14:29:10;maximized Savings Account Quality
2;Sleek Soft Bacon;Ghana;93874;18213;6918;50127;2020-05-25T19:44:15;Balanced Principal Point;2020-05-25T22:10:53;synergies maroon
3;Handmade;Vietnam Phased Investment Account;35020;13097;51521;44039;2020-05-25T14:12:40;expedite Florida;2020-05-25T14:31:17;access
4;Handmade deposit;Security;9933;77300;35328;51015;2020-05-26T02:39:41;Avon;2020-05-26T02:49:40;Intelligent Designer
5;multi-byte architect heuristic;compressing copying;80635;12483;33390;3756;2020-05-25T08:42:18;Home Loan Account Vermont;2020-05-25T21:22:42;Wooden Synergistic contingency
6;pixel;firmware Solomon Islands;93004;75247;81621;78644;2020-05-25T14:12:34;Granite parsing;2020-05-25T18:10:51;invoice
7;Assistant teal THX;holistic back-end;67394;10512;5173;65348;2020-05-26T02:33:58;intermediate Handmade;2020-05-25T19:30:01;Cambridgeshire
8;synthesizing deposit;open-source mobile;65424;29420;34236;61611;2020-05-26T06:19:17;Object-based District;2020-05-25T20:03:23;neural multi-state Gorgeous
9;connecting Hawaii;Poland Internal;42626;58256;74019;54800;2020-05-26T01:50:22;Missouri Global bluetooth;2020-05-26T00:37:52;Mexico Toys
10;networks;Metal;96324;14403;89607;99698;2020-05-26T02:53:55;synthesize Buckinghamshire virtual;2020-05-26T04:43:30;Face to face Checking Account
